date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_yard,sqft_yard15,price_per_sqft,norm_price,cost_type
20140528T000000,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,18471,10917,15.57710667805638,0.03081967213114754,Very Cheap
20141007T000000,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,8310,8838,41.32231404958678,0.04262295081967213,Very Cheap
20150312T000000,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,3040,3490,109.27835051546391,0.05967213114754098,Very Cheap
20150124T000000,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,2050,1860,130.0,0.07540983606557378,Very Cheap
20140731T000000,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,12150,12128,28.133903133903132,0.0419672131147541,Very Cheap
20140529T000000,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,2700,2690,112.79069767441861,0.05377049180327869,Very Cheap
20141205T000000,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,8650,4035,19.18781725888325,0.014950819672131148,Very Cheap
20150424T000000,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,8524,7570,23.531819111929607,0.020327868852459016,Very Cheap
20140514T000000,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,3360,3580,77.30923694779116,0.04065573770491803,Very Cheap
20140826T000000,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,41817,16226,44.57619185592975,0.25245901639344265,Cheap
20140703T000000,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,4030,4765,45.23809523809524,0.02754098360655738,Very Cheap
20140516T000000,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,8573,7166,26.205537695737842,0.023304918032786885,Very Cheap
20141120T000000,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,4050,4665,50.61538461538461,0.03331147540983607,Very Cheap
20141103T000000,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,2987,3675,49.60613157334469,0.020721311475409836,Very Cheap
20140626T000000,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,241,1813,348.19769602378295,0.11304918032786886,Cheap
20141201T000000,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,181,2001,421.88488298545224,0.07763934426229509,Very Cheap
20140624T000000,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,4860,4715,68.65203761755485,0.04760655737704918,Very Cheap
20150302T000000,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,4603,3396,100.23699986058831,0.08445901639344262,Very Cheap
20141110T000000,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,1660,1400,145.85427135678393,0.06629508196721312,Very Cheap
20141201T000000,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,75,366,221.34387351778656,0.026885245901639345,Very Cheap
20140624T000000,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,2670,3540,137.5,0.08032786885245902,Very Cheap
20141110T000000,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,1910,3510,178.33333333333334,0.06032786885245902,Very Cheap
20141203T000000,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,4599,6700,48.43069529959453,0.032459016393442626,Very Cheap
20140613T000000,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,760,1674,227.45098039215685,0.08144262295081967,Very Cheap
20140528T000000,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,33188,9307,15.782828282828282,0.06229508196721312,Very Cheap
20141230T000000,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,3640,2970,106.66666666666667,0.0740983606557377,Very Cheap
20150213T000000,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,6855,6510,29.721362229102166,0.021639344262295083,Very Cheap
20140620T000000,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,4933,9264,80.10062226929696,0.06950819672131148,Very Cheap
20140715T000000,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,2950,3199,113.22463768115942,0.07213114754098361,Very Cheap
20140811T000000,775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,19966,28207,32.04333085255933,0.09180327868852459,Very Cheap
20140707T000000,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,2044,2014,152.86220961163326,0.10321180327868852,Cheap
20141028T000000,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,710,1060,300.43859649122805,0.08,Very Cheap
20140729T000000,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,8376,7468,32.00082850041425,0.030688524590163933,Very Cheap
20140718T000000,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,10443,6182,35.874439461883405,0.05416393442622951,Very Cheap
20150325T000000,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,7538,7612,24.682223264540337,0.017769180327868853,Very Cheap
20140716T000000,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,11126,11005,58.512224209898626,0.09311475409836066,Very Cheap
20150428T000000,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,4713,4130,75.46536978031192,0.04918032786885246,Very Cheap
20150311T000000,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,72513,62252,69833,20.76763325898008,0.16721311475409836,Cheap
20140916T000000,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,8009,8174,24.785302750298946,0.020065573770491802,Very Cheap
20150217T000000,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,5984,7143,37.77096562294723,0.03540983606557377,Very Cheap
20141231T000000,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,2670,2670,147.05882352941177,0.06885245901639345,Very Cheap
20150205T000000,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,6570,5258,68.42105263157895,0.06688524590163934,Very Cheap
20150303T000000,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,3270,3270,153.33333333333334,0.11081967213114755,Cheap
20140512T000000,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,2170,3050,177.0,0.1062295081967213,Cheap
20140819T000000,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,2245,2250,65.07230255839822,0.028524590163934428,Very Cheap
20150407T000000,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,2330,2060,63.36842105263158,0.029639344262295083,Very Cheap
20140827T000000,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,11092,8084,66.30874355041138,0.11488524590163934,Cheap
20150223T000000,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,8126,6272,43.10344827586207,0.04655737704918033,Very Cheap
20141210T000000,650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339,2570,18900,19085,16330,30.609842241582292,0.07540983606557378,Very Cheap
20140828T000000,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,7140,7460,34.404761904761905,0.028065573770491802,Very Cheap
20141021T000000,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,6171,7000,58.11277330264672,0.05639344262295082,Very Cheap
20141207T000000,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,-496,1510,525.8620689655172,0.06216393442622951,Very Cheap
20140603T000000,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,4340,2640,70.83333333333333,0.04590163934426229,Very Cheap
20141120T000000,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,1039,2560,83.38802835389866,0.031819672131147544,Very Cheap
20140909T000000,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,8329,8299,88.24327993483573,0.1180327868852459,Cheap
20141009T000000,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,2408,2336,61.74698795180723,0.02780327868852459,Very Cheap
20140825T000000,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,11070,11625,16.901408450704224,0.016918032786885247,Very Cheap
20140612T000000,1325000.0,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158,16958,16768,65.73072725468796,0.16393442622950818,Cheap
20140912T000000,1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,1973,0,98005,47.6525,-122.16,3530,38917,45324,35387,20.760969377570166,0.12655737704918033,Cheap
20150105T000000,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,4352,3105,57.91161796151105,0.03278688524590164,Very Cheap
20140610T000000,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,5057,6297,73.13949020110158,0.06504918032786886,Very Cheap
20140710T000000,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,2620,2580,72.0,0.037377049180327866,Very Cheap
20150316T000000,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529,48739,48589,6.906924736290051,0.035934426229508196,Very Cheap
20141105T000000,832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,1986,0,98075,47.5822,-121.987,3240,35020,31672,31780,23.716597344880633,0.09934426229508196,Very Cheap
20141013T000000,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,5540,5820,52.054794520547944,0.04,Very Cheap
20150420T000000,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,4020,4170,94.86166007905139,0.05311475409836065,Very Cheap
20140609T000000,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,3650,4563,81.02766798418972,0.043934426229508196,Very Cheap
20150323T000000,720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750,36233,36400,18.143789532041428,0.08459016393442623,Very Cheap
20141202T000000,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,2750,3013,76.47058823529412,0.04131147540983607,Very Cheap
20141222T000000,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,3989,4535,61.130922058074376,0.037377049180327866,Very Cheap
20141028T000000,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,4700,5000,52.82738095238095,0.036721311475409836,Very Cheap
20150128T000000,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,7032,6947,40.86317722681359,0.03685245901639344,Very Cheap
20140602T000000,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,5674,5633,47.482665058788065,0.031475409836065574,Very Cheap
20141114T000000,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,1460,2780,261.1111111111111,0.11344262295081967,Cheap
20141103T000000,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,5740,6575,36.30952380952381,0.03016393442622951,Very Cheap
20140618T000000,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,3508,5449,73.43102899012425,0.05062295081967213,Very Cheap
20140519T000000,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,430,75,105.3921568627451,0.018360655737704918,Very Cheap
20140904T000000,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,36,76,314.25891181988743,0.03409836065573771,Very Cheap
20140522T000000,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,5423,5530,32.89207078211536,0.022098360655737705,Very Cheap
20150311T000000,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,2833,3730,173.12765622540533,0.1344104918032787,Cheap
20150226T000000,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,9300,9150,14.571428571428571,0.010229508196721311,Very Cheap
20140725T000000,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,3420,2930,86.0,0.04655737704918033,Very Cheap
20141223T000000,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,3420,2930,140.0,0.08196721311475409,Very Cheap
20140908T000000,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,6950,4095,88.29268292682927,0.10885245901639344,Cheap
20150330T000000,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616,13721,13866,15.783432179070212,0.02262295081967213,Very Cheap
20140912T000000,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,5240,5240,31.09375,0.016262295081967214,Very Cheap
20140711T000000,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,1650,135036,39990,133386,7.511961722488039,0.03134426229508197,Very Cheap
20140516T000000,437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,0,98045,47.4838,-121.714,2550,35065,34527,32515,11.873422531006595,0.047540983606557376,Very Cheap
20140611T000000,850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,11171,2300,64.25723132693905,0.10174819672131148,Cheap
20141027T000000,555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478,1498,1868,159.5744680851064,0.06295081967213115,Very Cheap
20141212T000000,699950.0,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,2570,47777,105403,45207,6.505534746684264,0.08196065573770492,Very Cheap
20141007T000000,1088000.0,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,5193,5743,134.10575619376309,0.13285245901639345,Cheap
20140924T000000,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,0,98058,47.4375,-122.184,1640,14910,32709,13270,8.549780359090775,0.02819672131147541,Very Cheap
20150402T000000,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162,7665,5912,37.481259370314845,0.03934426229508197,Very Cheap
20140523T000000,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,2335,2765,114.85642946317104,0.050491803278688525,Very Cheap
20140723T000000,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,1253,3696,75.61171279582832,0.014885245901639345,Very Cheap
20150305T000000,680000.0,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,1991,0,98077,47.7304,-122.082,2990,35001,24897,32011,24.253664800085602,0.07934426229508197,Very Cheap
20140827T000000,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433,10312,6933,38.08134824177605,0.05180327868852459,Very Cheap
20140725T000000,597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636,7314,7696,62.11034912718205,0.06855737704918033,Very Cheap
20150304T000000,570000.0,3,1.75,1260,3328,1.0,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536,2068,2156,171.27403846153845,0.06491803278688525,Very Cheap
20140916T000000,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,11060,10116,21.626984126984127,0.025901639344262296,Very Cheap
20141124T000000,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500,3889,3410,55.27726587368068,0.03343606557377049,Very Cheap
20141028T000000,480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,2640,8517,12941,5877,29.682765444313894,0.05311475409836065,Very Cheap
20141121T000000,740500.0,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350,1970,4520,116.61417322834646,0.08727868852459017,Very Cheap
20140626T000000,518500.0,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,3166,-488,1546,470.508166969147,0.05816393442622951,Very Cheap
20140623T000000,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780,5900,5590,30.298672566371682,0.017104918032786885,Very Cheap
20150108T000000,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000,8030,7120,17.895833333333332,0.012695081967213116,Very Cheap
20150511T000000,535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040,1372,2430,179.40979208584844,0.06032786885245902,Very Cheap
20150102T000000,660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856,4074,8516,101.94624652455978,0.07672131147540984,Very Cheap
20141119T000000,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,7682,7524,42.8712220762155,0.04150819672131147,Very Cheap
20150406T000000,395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000,5230,4290,65.83333333333333,0.0419672131147541,Very Cheap
20141104T000000,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400,2300,2550,101.13636363636364,0.04852459016393443,Very Cheap
20140618T000000,770000.0,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,7294,11292,75.46060368482948,0.09114754098360656,Very Cheap
20150302T000000,1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275,15039,8215,81.51104615211648,0.18032786885245902,Cheap
20140717T000000,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,6101,6052,54.26167540543836,0.04852459016393443,Very Cheap
20140717T000000,260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,6651,6310,29.50856883441153,0.024262295081967214,Very Cheap
20140613T000000,822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,2640,3260,165.8266129032258,0.0980327868852459,Very Cheap
20150406T000000,430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,2240,1778,99.76798143851508,0.04655737704918033,Very Cheap
20150105T000000,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,6815,6260,26.92063492063492,0.017967213114754098,Very Cheap
20150428T000000,660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,7593,7733,68.7805893991461,0.07678688524590165,Very Cheap
20140612T000000,784000.0,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,98052,47.697,-122.072,2480,88500,107128,86020,7.0581033147878065,0.09298360655737704,Very Cheap
20140512T000000,453246.0,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,1690,1662,277,-28,198.18364669873196,0.049606032786885246,Very Cheap
20150126T000000,675000.0,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,138,745,296.31255487269533,0.07868852459016394,Very Cheap
20140813T000000,199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,19265,16070,17715,11.44335825186889,0.016262295081967214,Very Cheap
20140805T000000,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140,5820,6390,28.06122448979592,0.01901639344262295,Very Cheap
20140529T000000,452000.0,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436,7412,8886,45.19096180763847,0.04944262295081967,Very Cheap
20140707T000000,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,3250,4655,86.14864864864865,0.040327868852459016,Very Cheap
20140507T000000,519950.0,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310,79,-40,416.293034427542,0.058354098360655735,Very Cheap
20140627T000000,665000.0,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600,2090,2430,207.8125,0.07737704918032787,Very Cheap
20140708T000000,527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375,6555,6555,56.288,0.05937049180327869,Very Cheap
20150508T000000,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579,6969,6969,23.89555892295139,0.017049180327868854,Very Cheap
20150415T000000,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940,7037,6380,51.871063356798814,0.04524590163934426,Very Cheap
20150227T000000,500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,2230,8824,6487,6594,58.70611717740989,0.05573770491803279,Very Cheap
